Estado;Codigo UF;UF;Código_IBGE;Região;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Acre;12;AC;1200013;Norte;3864,01;4309,39;4887,09;5502,38;6415,31;6693,55;7040,88;8188,96;9896,16;10686,87;11384,32753;11990,35587;13360,7166;14777,17569;17034,14833;16954,05276;16841,50719;17204,21132;17636,88011;17722,41372;18420,26
Alagoas;27;AL;2700102;Nordeste;2752,32;2971,45;3398,2;3841,93;4373,05;4688,27;5162,19;5767,56;6227,5;6728,22;8693,917327;10071,09559;10946,36044;11294,53598;12335,43786;13878,52569;14727,38488;15655,7577;16375,56252;17667,79183;18857,69
Amapá;16;AP;1600055;Norte;4941,04;5618,06;6372,59;6421,04;6953,76;7335,06;8542,82;9459,06;11032,67;11816,64;12319,32236;13749,96974;15933,06032;17365,38188;17845,34485;18079,6569;18333,41014;19407,64869;20247,53243;20688,21064;21431,53
Amazonas;13;AM;1300029;Norte;5955,35;6223,8;7357,39;8240,36;9778,2;10318,33;11826,14;12399,59;14014,13;14620,99;17488,71717;19990,57797;20117,79517;21810,12499;22373,35925;21980,90367;22250,67253;22945,1397;24532,9033;26101,71532;27572,96
Bahia;29;BA;2900108;Nordeste;3559,47;3866,75;4553,87;5070,25;5835,26;6581,08;6918,98;7785,69;8378,31;9364,62;11013,10817;11817,86949;12879,58646;13616,21963;14803,94512;16117,12401;16936,98507;17512,7908;19324,03579;19716,21339;20449,29
Ceará;23;CE;2300101;Nordeste;3042,41;3250,37;3775,04;4197,42;4689,13;5055,43;5634,94;6037,94;7111,85;7686,67;9391,072771;10515,14637;11268,14973;12420,75667;14255,05495;14670,16115;15442,62883;16398,44686;17178,25632;17912,1693;18168,35
Distrito Federal;53;DF;5300108;Centro Oeste;22658,01;24564,76;26161,33;28817,76;31663,53;34514,72;37599,28;41061,74;45977,56;50438,48;56252,9001;59221,86682;61959,35578;63054,407;69216,7987;73970,99071;79114,1942;80515,46577;85661,39366;90742,75039;87016,16
Espírito Santo;32;ES;3200102;Sudeste;7506,25;7712,61;8356,79;9557,46;12192,48;13854,93;15234,78;17143,4;20230,85;19145,74;24286,43624;29877,24244;32657,46017;30545,23766;33148,56033;30628,16942;27496,91864;28234,53319;34493,11972;34177,04837;34065,98
Goiás;52;GO;5200050;Centro Oeste;5246,42;5846,72;7181,07;8072,55;8888,92;8992,02;9956,28;11164,88;12877,88;14446,66;17783,02952;19947,76945;22543,93423;23515,54964;25296,59706;26265,44077;27145,09253;28316,08749;28272,96229;29732,39761;31506,97
Maranhão;21;MA;2100055;Nordeste;2107,22;2341,82;2662,07;3146,82;3634,8;4150,94;4627,71;5044,77;6103,52;6259,46;7048,990508;7846,1346;9009,127144;9963,474468;11216,36677;11366,34626;12267,70154;12791,40401;13955,75381;13757,94316;15027,69
Mato Grosso;51;MT;5100102;Centro Oeste;5937,87;6369,74;8039,65;10518,81;13700,89;13365,07;12340,68;14667,83;18049,81;19087,09;18655,61084;22482,24825;25572,10238;28035,74813;31396,80881;32895,04797;37476,67033;37926,21589;39931,12513;40787,31948;50663,19
Mato Grosso do Sul;50;MS;5000203;Centro Oeste;5447,73;6229,87;7079,04;8883,09;9599,19;9561,03;10592,38;12062,84;14187,47;15406,62;19299,3366;22253,16965;24754,89918;26747,58646;30137,58393;31337,30307;34257,66656;35529,3811;38925,85386;38482,83022;43649,17
Minas Gerais;31;MG;3100104;Sudeste;5623,47;6140,84;6966,05;8021,35;9451,07;10013,77;11024,75;12236,4;14232,73;14328,33;17918,7487;20281,34985;22275,26741;23697,20132;24917,12005;24885,17417;25946,37036;27291,10832;29223,21645;30794,04414;32066,73
Pará;15;PA;1500107;Norte;3076,43;3519,78;3975,88;4525,42;5311,11;5612,31;6240,06;6829,34;7992,71;7859,17;10874,9071;12838,59555;13741,42351;15210,80421;15430,53229;16011,95055;16694,32151;18553,75951;18952,21224;20734,6022;24846,62
Paraíba;25;PB;2500106;Nordeste;2711,39;3127,7;3557,66;4023,7;4241,02;4691,14;5506,55;6082,37;6865,98;7617,76;8899,381203;9787,93286;11136,68279;11847,80566;13422,42055;14133,69468;14778,35668;15500,15564;16107,50902;16919,84189;17402,13
Paraná;41;PR;4100103;Sul;7228,64;7881,91;9023;11048,85;12224,52;12344,46;13151,95;15371,28;16927,32;17779,14;21572,20901;24459,0689;27001,96796;30323,45656;31410,74403;33768,89849;35739,94233;37231,86037;38772,7417;40788,76949;42366,71
Pernambuco;26;PE;2600054;Nordeste;3404,64;3776,73;4360,25;4816,13;5341,88;5933,46;6526,63;7246,73;8064,95;8901,87;11049,27318;12426,70356;14330,82993;15328,17347;16722,05357;16796,22919;17783,10905;19170,73804;19623,65268;20702,30288;20101,38
Piauí;22;PI;2200053;Nordeste;2132,3;2252,94;2561,98;3002,04;3328,69;3701,24;4211,9;4611,3;5372,4;6051,41;7139,80187;8260,717478;9060,41377;9824,736842;11808,08342;12218,89626;12893,71602;14091,92898;15432,05365;16124,99979;17184,7
Rio de Janeiro;33;RJ;3300100;Sudeste;9711,07;10447,39;11638,58;12636,14;14830,06;16057,38;17692,59;18856,12;21621,36;22103,04;28127,41217;31823,87836;35418,15326;38378,59366;40767,25543;39827,06924;38494,91226;40170,31136;44222,65826;45174,08005;43407,55
Rio Grande do Norte;24;RN;2400109;Nordeste;3284,31;3674,12;4275,64;4679,6;5329,77;5950,48;6753,08;7433,45;8202,81;8893,61;11421,39625;12815,66761;14377,12568;15269,43764;15849,32534;16632,17786;17173,35919;18336,45282;19249,60319;20342,10735;20342,11
Rio Grande do Sul;43;RS;4300001;Sul;8030,66;8953,43;10134,75;11849,6;12986,65;13298,13;14304,83;15939,53;18377,73;19778,55;22556,06957;24695,39508;26701,10658;29764,5509;31927,15943;33961,01992;36219,33532;37381,78684;40362,745;42406,08618;41227,61
Rondônia;11;RO;1100015;Norte;4309,46;4651,54;5433,73;6697,39;7608,7;8395,79;8389,27;9435,52;11976,57;13455,71;15320,64823;17491,59626;18938,68679;18007,84656;19462,61289;20678,23209;22078,455;24098,14856;25554,31246;26497,11534;28722,45
Roraima;14;RR;1400027;Norte;5476,79;6028,53;6667,26;7660,32;7645,01;8124,56;9074,44;10038,02;11844,72;13270,54;14713,54878;15871,95738;16424,01052;18461,8771;19608,40492;20256,30632;21416,98973;23160,87898;23188,91739;23593,83838;25387,77
Santa Catarina;42;SC;4200051;Sul;8086,07;8946,76;10082,26;11922;13609,94;14542,74;15633,12;17295,19;20368,53;21214,59;24597,4127;27555,30058;30046,3824;32334,04111;36055,8993;36526,27985;37153,99745;39603,46528;42149,29587;45118,41207;48159,24
São Paulo;35;SP;3500105;Sudeste;11453,79;12316,67;13404,04;14979,51;16399,03;17975,6;19550,35;21668,43;24456,84;26202,18;31384,92599;34546,04616;37207,35293;39282,96581;42197,8705;43694,94456;45559,13061;47028,89316;48542,23975;51140,82394;51364,73
Sergipe;28;SE;2800100;Nordeste;3664,83;4412,5;5121,47;5800,63;6393,6;6823,52;7559,23;8308,96;9778,96;9786,89;12768,13221;13928,60906;15563,83268;16093,5454;16882,71331;17190,1977;17158,53068;17792,57964;18442,62553;19441,23228;19583,07
Tocantins;17;TO;1700251;Norte;3173,22;4087,64;4645,51;5886,21;6605,05;6939,47;7208,33;8164,07;10222,71;11277,6;11857,87742;13095,71882;14590,19361;16098,79311;17495,93998;19094,31347;20604,58933;22002,49258;22933,07486;25021,80174;27448,43