Estado;Código_UF;UF;Código_IBGE;Região;"2021
";Menos_de_US$_5,5_%_2021;"2020
";Menos_de_US$_5,5_%_2020;"2019
";Menos_de_US$_5,5_%_2019;2018;Menos_de_US$_5,5_%_2018;2017;Menos_de_US$_5,5_%_2017;2016;Menos_de_US$_5,5_%_2016;2015;Menos_de_US$_5,5_%_2015;2014;Menos_de_US$_5,5_%_2014;2013;Menos_de_US$_5,5_%_2013;2012;Menos_de_US$_5,5_%_2012
Rondônia;11;RO;1100015;Norte;1804543;31,01;1785821000;19,7;1766528,84;24,22;1747154;26,66;1727248;26,99;1707229,36;31,23;1687511,45;28,92;1667748;26,03;1647435,54;29,5;1627700,76;31,61
Acre;12;AC;1200013;Norte;889723,6;46,91;877688000;40,09;865422;44,66;852608,26;42,83;840033,14;48,24;828222,31;49,05;816053,08;44,95;802573,22;44,62;789861,42;45,34;776990,97;47,72
Amazonas;13;AM;1300029;Norte;4102887,3;50,76;4043094802;44,52;3982728,09;49;3918399,61;47,2;3857781,96;48,95;3797253,19;51,69;3735648,12;44,59;3667672,79;43,01;3601162,24;44,61;3537272,62;45,92
Roraima;14;RR;1400027;Norte;581941,97;46,2;562262429,6;39,63;539599,07;40,4;513025,56;33,54;486040,78;35,55;467850,18;32,23;456109,29;31,11;445352,75;30,01;436292,22;34,94;426516,32;33,7
Pará;15;PA;1500107;Norte;8733604,19;46,6;8643835405;36,98;8557911,18;45,77;8464115,57;45,63;8376486,25;46,17;8289782,18;47,54;8197330,08;44,67;8099278,44;41,89;8002451,71;45,26;7910095,3;45,85
Amapá;16;AP;1600055;Norte;867901,53;47,25;853412000,3;41,11;837575;44,16;821060,78;47,25;804968,23;48,47;788494,75;44,13;771799,67;41,4;755067;39,12;737553,14;36,66;720702,6;43,15
Tocantins;17;TO;1700251;Norte;1593903,01;33,11;1576614340;30,19;1558905,7;34,17;1541387,61;32,93;1524148,11;33,47;1507124,2;35,18;1490517,56;35,02;1472492,2;33,17;1453438,51;37,45;1435656,63;39,51
Maranhão;21;MA;2100055;Nordeste;7118080,01;57,46;7079510510;48,33;7038641,83;53,97;7000198,19;54,76;6957710,92;54,74;6919851,96;54,17;6878325,56;52,88;6837804,47;52,4;6798988,63;54,52;6763728,39;55,92
Piauí;22;PI;2200053;Nordeste;3287590,71;44,65;3279521480;38,44;3270840,25;45,18;3262244,9;43,86;3249954,16;46,31;3244782,93;45,46;3232880,73;39,72;3224527,17;41,59;3211974,38;42,97;3207098,79;46,35
Ceará;23;CE;2300101;Nordeste;9231196,27;46,8;9177637583;40,57;9125074,76;43,09;9064829,22;44,17;9009590,88;45,62;8950696,61;46,78;8890055,31;45,21;8826164,66;44,31;8781485,25;45,11;8715501,93;49,15
Rio Grande do Norte;24;RN;2400109;Nordeste;3560625,26;43,19;3529115981;34,22;3506126,75;39,64;3478599,34;39,72;3449520,37;39,69;3420752,69;38,14;3392738,9;35,34;3361449;37,68;3331025,54;39,21;3299449,89;41,48
Paraíba;25;PB;2500106;Nordeste;4036967,64;47,41;4016028753;41,26;3993254,12;43,51;3974038,22;41,99;3951897,97;41,27;3928566,68;43,74;3908669,74;38,78;3886950,49;41,02;3867782,27;44,32;3849564,51;46,15
Pernambuco;26;PE;2600054;Nordeste;9614636,47;50,98;9556296067;42,19;9497001,92;43,53;9435406,8;42,55;9369386,79;43,31;9314887,76;43,57;9259719,56;40,66;9189779,63;38;9129160,17;41,87;9059658,82;46,11
Alagoas;27;AL;2700102;Nordeste;3358030,01;51,67;3343326770;43,89;3328862,74;49,06;3314057,33;50,26;3298778,98;50,81;3284243,26;49,58;3269729,36;50,37;3255384,93;47,93;3238013,84;51,34;3220687,1;50,26
Sergipe;28;SE;2800100;Nordeste;2336955,51;47,66;2318678000;35,83;2298235,14;44,71;2276688,61;45,69;2254639,24;43,31;2234265,76;42,46;2214453,57;40,6;2193059,28;39,18;2170562,52;43,48;2148848,3;44,93
Bahia;29;BA;2900108;Nordeste;14951834,48;46,48;14906419191;37,52;14848737,84;42,04;14785230,51;44,7;14727205,36;45,63;14663570,49;43,93;14599688,98;39,92;14536870,93;38,79;14477354,61;42,58;14409938,91;46,02
Minas Gerais;31;MG;3100104;Sudeste;21397247,32;23,74;21276016558;17,06;21151239,91;19,57;21021202,78;21;20894909,82;20,8;20761277,19;21,68;20625961,61;19,19;20486394,03;19,15;20339370,95;21,31;20213389,86;23,17
Espírito Santo;32;ES;3200102;Sudeste;4104539,43;26,29;4059501449;18,66;4014539,88;20,16;3968043,36;21,85;3920490,9;22,3;3874829,26;23,71;3828265,42;22,18;3780296,78;20,27;3731799,9;21,85;3685249,52;21,39
Rio de Janeiro;33;RJ;3300100;Sudeste;17460829,74;23,56;17358898414;20,72;17255865,46;20,07;17153268,37;19,41;17042458,52;20,23;16935873,27;20,35;16830104,2;17,65;16718199,77;16,71;16606616,52;18,84;16496144,04;20,44
São Paulo;35;SP;3500105;Sudeste;46623127,78;17,48;46269533408;14,32;45888808,56;14,01;45512889,03;14,22;45130217,67;15,74;44723031,28;13,25;44323502,63;12,37;43908972,83;11,02;43501895,16;12,14;43071215,28;12,42
Paraná;41;PR;4100103;Sul;11580329,49;17,27;11503028677;14,9;11418734,94;14,63;11331419,75;14,54;11246752,76;14,99;11159985,99;15;11073288,01;13,48;10977575,67;11,66;10887402,25;13,75;10800860,61;15,09
Santa Catarina;42;SC;4200051;Sul;7322533,2;10,49;7239235754;8,52;7151499,74;8;7061612,64;8,45;6971007,33;8,91;6878656,32;10,03;6787412,86;8,57;6695834,29;7,98;6605740,43;9,12;6516794,77;10,39
Rio Grande do Sul;43;RS;4300001;Sul;11443201,96;13,55;11402952306;11,97;11356194,22;11,99;11299803,69;14,1;11259369,84;12,94;11205041,65;12,85;11149344,09;11,5;11094238,09;11,88;11039489,62;12,13;10990874,51;14,2
Mato Grosso do Sul;50;MS;5000203;Centro Oeste;2768103,01;22,42;2739021000;16,38;2708950,27;16;2677482,67;17,27;2646971,19;18,59;2617170,85;17,6;2586681,11;17,86;2554643,32;16,89;2523087,08;18,31;2492409,16;18,8
Mato Grosso;51;MT;5100102;Centro Oeste;3510273,98;20,59;3467156279;17,16;3430303,76;15,55;3388313,62;15,99;3345900,42;18,2;3304672,09;19,08;3263522;16,69;3219155;16,96;3174019,93;16,49;3135087,66;19,05
Goiás;52;GO;5200050;Centro Oeste;7206333,39;22,35;7108605670;18,05;7019294,89;18,13;6920868,2;19,2;6823810,9;17,94;6723531,04;19,27;6624606,24;16,67;6515612,3;15,77;6416433,23;15,19;6311946,56;19,36
Distrito Federal;53;DF;5300108;Centro Oeste;3090277,16;15,09;3047737760;12,38;3008173,78;11,82;2966354,85;13,7;2927801,34;15,22;2883848,42;15,16;2840737,19;13,58;2797477,11;13,75;2753720,94;13,75;2715681,54;15,16