CÃ³digo_UF,Ano,Unemployed_%
11,2018,9.05
11,2020,10.425
11,2017,8.225
11,2012,6.35
11,2016,7.925
11,2021,8.95
11,2022,4.925
11,2014,4.175
11,2013,5.075
11,2015,5.575
11,2019,7.95
12,2016,10.875
12,2015,8.475
12,2017,14.125
12,2018,13.525
12,2013,8.975
12,2019,14.5
12,2012,8.4
12,2020,15.075
12,2022,11.7
12,2021,15.325
12,2014,7.7
13,2019,14.0
13,2014,7.725
13,2012,9.5
13,2018,13.9
13,2013,9.075
13,2020,15.775
13,2015,9.525
13,2021,14.975
13,2017,15.675
13,2022,10.7
13,2016,13.575
14,2013,8.0
14,2022,6.125
14,2014,6.325
14,2015,8.525
14,2021,12.05
14,2012,7.55
14,2016,8.8
14,2019,14.925
14,2017,9.85
14,2020,16.4
14,2018,12.25
15,2019,10.775
15,2015,8.8
15,2022,9.575
15,2018,11.125
15,2020,10.35
15,2014,7.2
15,2016,11.15
15,2021,12.575
15,2017,11.75
15,2013,7.25
15,2012,7.375
16,2012,13.225
16,2022,12.425
16,2014,10.325
16,2021,16.625
16,2020,14.9
16,2016,15.45
16,2019,17.35
16,2015,11.025
16,2018,20.175
16,2013,11.45
16,2017,17.725
17,2013,7.525
17,2015,8.625
17,2016,11.45
17,2018,10.625
17,2012,7.725
17,2019,10.825
17,2020,11.625
17,2021,13.325
17,2017,11.65
17,2014,7.5
17,2022,6.4
21,2016,11.85
21,2019,14.275
21,2014,6.825
21,2018,14.4
21,2021,15.825
21,2017,14.325
21,2012,8.05
21,2020,15.85
21,2013,7.85
21,2022,10.425
21,2015,8.575
22,2012,6.9
22,2015,7.55
22,2016,9.425
22,2019,12.8
22,2014,6.525
22,2018,12.775
22,2013,7.525
22,2021,13.55
22,2017,12.85
22,2020,12.8
22,2022,10.1
23,2017,12.575
23,2012,7.7
23,2018,11.3
23,2019,10.925
23,2021,13.425
23,2016,11.95
23,2022,9.45
23,2013,7.825
23,2014,7.35
23,2015,8.825
23,2020,13.175
24,2017,14.475
24,2019,13.075
24,2012,11.4
24,2022,11.625
24,2014,11.025
24,2021,14.8
24,2015,11.975
24,2018,13.55
24,2020,15.8
24,2016,14.15
24,2013,10.675
25,2017,11.375
25,2021,14.775
25,2020,14.625
25,2016,11.35
25,2018,11.075
25,2013,8.8
25,2014,8.85
25,2022,11.925
25,2012,9.175
25,2019,11.575
25,2015,9.5
26,2014,8.15
26,2018,16.7
26,2021,19.9
26,2013,8.975
26,2012,9.075
26,2020,16.825
26,2016,14.55
26,2015,9.875
26,2022,14.2
26,2019,15.475
26,2017,17.65
27,2013,10.6
27,2018,17.0
27,2022,11.175
27,2021,17.75
27,2014,9.625
27,2017,16.675
27,2012,11.35
27,2020,18.575
27,2019,14.9
27,2016,14.075
27,2015,11.2
28,2020,18.4
28,2012,10.25
28,2019,15.075
28,2017,14.3
28,2018,16.6
28,2013,10.3
28,2021,17.875
28,2015,9.05
28,2016,13.25
28,2022,12.9
28,2014,9.225
29,2017,16.95
29,2021,19.475
29,2018,17.0
29,2019,17.2
29,2012,11.05
29,2022,15.425
29,2014,10.25
29,2020,19.825
29,2013,11.15
29,2015,12.25
29,2016,15.85
31,2015,8.475
31,2013,6.6
31,2012,6.875
31,2022,7.15
31,2021,11.65
31,2017,12.2
31,2014,6.725
31,2018,10.7
31,2016,11.075
31,2019,10.05
31,2020,12.475
32,2016,12.225
32,2021,11.125
32,2019,10.975
32,2013,7.125
32,2022,7.925
32,2017,13.125
32,2014,6.175
32,2020,12.675
32,2018,11.475
32,2015,7.7
32,2012,7.125
33,2012,7.525
33,2022,12.8
33,2015,7.6
33,2013,6.775
33,2019,14.65
33,2014,6.25
33,2020,17.35
33,2017,14.925
33,2018,14.95
33,2016,11.725
33,2021,16.9
35,2021,13.425
35,2022,9.075
35,2013,7.225
35,2019,12.45
35,2012,7.25
35,2018,13.275
35,2015,9.3
35,2014,7.125
35,2017,13.4
35,2016,12.35
35,2020,13.875
41,2013,4.325
41,2020,9.375
41,2017,9.0
41,2014,4.0
41,2022,5.825
41,2018,8.775
41,2015,5.85
41,2012,4.95
41,2016,8.225
41,2019,8.525
41,2021,8.35
42,2013,3.075
42,2020,6.125
42,2021,5.45
42,2022,3.85
42,2014,2.875
42,2016,6.325
42,2018,6.4
42,2012,3.425
42,2019,6.075
42,2017,7.1
42,2015,4.1
43,2013,4.8
43,2021,8.725
43,2016,8.175
43,2018,8.1
43,2014,5.0
43,2012,4.8
43,2017,8.4
43,2022,6.1
43,2020,9.1
43,2019,8.025
43,2015,6.2
50,2017,8.475
50,2020,9.95
50,2018,7.55
50,2014,4.1
50,2019,7.95
50,2015,6.125
50,2022,5.025
50,2021,8.6
50,2012,6.1
50,2016,7.675
50,2013,4.675
51,2016,9.35
51,2022,4.25
51,2017,8.95
51,2015,6.05
51,2013,4.425
51,2018,7.85
51,2019,7.95
51,2014,4.0
51,2020,9.725
51,2012,5.5
51,2021,7.95
52,2014,5.3
52,2016,10.475
52,2021,11.25
52,2018,9.225
52,2013,5.425
52,2022,7.1
52,2020,12.425
52,2012,5.375
52,2015,7.3
52,2017,10.575
52,2019,10.6
53,2015,10.1
53,2020,14.75
53,2012,8.625
53,2019,13.375
53,2016,12.0
53,2018,12.725
53,2022,11.325
53,2013,9.025
53,2017,13.175
53,2021,13.95
53,2014,8.95
