UF,Código_UF,Estado,Região,Ano,Unemployed
AC,12,Acre,Norte,2012,"8,4"
AC,12,Acre,Norte,2013,"8,975"
AC,12,Acre,Norte,2014,"7,7"
AC,12,Acre,Norte,2015,"8,475"
AC,12,Acre,Norte,2016,"10,875"
AC,12,Acre,Norte,2017,"14,125"
AC,12,Acre,Norte,2018,"13,525"
AC,12,Acre,Norte,2019,"14,5"
AC,12,Acre,Norte,2020,"15,075"
AC,12,Acre,Norte,2021,"15,325"
AC,12,Acre,Norte,2022,"11,7"
AL,27,Alagoas,Nordeste,2012,"11,35"
AL,27,Alagoas,Nordeste,2013,"10,6"
AL,27,Alagoas,Nordeste,2014,"9,625"
AL,27,Alagoas,Nordeste,2015,"11,2"
AL,27,Alagoas,Nordeste,2016,"14,075"
AL,27,Alagoas,Nordeste,2017,"16,675"
AL,27,Alagoas,Nordeste,2018,17
AL,27,Alagoas,Nordeste,2019,"14,9"
AL,27,Alagoas,Nordeste,2020,"18,575"
AL,27,Alagoas,Nordeste,2021,"17,75"
AL,27,Alagoas,Nordeste,2022,"11,175"
AM,13,Amazonas,Norte,2012,"9,5"
AM,13,Amazonas,Norte,2013,"9,075"
AM,13,Amazonas,Norte,2014,"7,725"
AM,13,Amazonas,Norte,2015,"9,525"
AM,13,Amazonas,Norte,2016,"13,575"
AM,13,Amazonas,Norte,2017,"15,675"
AM,13,Amazonas,Norte,2018,"13,9"
AM,13,Amazonas,Norte,2019,14
AM,13,Amazonas,Norte,2020,"15,775"
AM,13,Amazonas,Norte,2021,"14,975"
AM,13,Amazonas,Norte,2022,"10,7"
AP,16,Amapá,Norte,2012,"13,225"
AP,16,Amapá,Norte,2013,"11,45"
AP,16,Amapá,Norte,2014,"10,325"
AP,16,Amapá,Norte,2015,"11,025"
AP,16,Amapá,Norte,2016,"15,45"
AP,16,Amapá,Norte,2017,"17,725"
AP,16,Amapá,Norte,2018,"20,175"
AP,16,Amapá,Norte,2019,"17,35"
AP,16,Amapá,Norte,2020,"14,9"
AP,16,Amapá,Norte,2021,"16,625"
AP,16,Amapá,Norte,2022,"12,425"
BA,29,Bahia,Nordeste,2012,"11,05"
BA,29,Bahia,Nordeste,2013,"11,15"
BA,29,Bahia,Nordeste,2014,"10,25"
BA,29,Bahia,Nordeste,2015,"12,25"
BA,29,Bahia,Nordeste,2016,"15,85"
BA,29,Bahia,Nordeste,2017,"16,95"
BA,29,Bahia,Nordeste,2018,17
BA,29,Bahia,Nordeste,2019,"17,2"
BA,29,Bahia,Nordeste,2020,"19,825"
BA,29,Bahia,Nordeste,2021,"19,475"
BA,29,Bahia,Nordeste,2022,"15,425"
CE,23,Ceará,Nordeste,2012,"7,7"
CE,23,Ceará,Nordeste,2013,"7,825"
CE,23,Ceará,Nordeste,2014,"7,35"
CE,23,Ceará,Nordeste,2015,"8,825"
CE,23,Ceará,Nordeste,2016,"11,95"
CE,23,Ceará,Nordeste,2017,"12,575"
CE,23,Ceará,Nordeste,2018,"11,3"
CE,23,Ceará,Nordeste,2019,"10,925"
CE,23,Ceará,Nordeste,2020,"13,175"
CE,23,Ceará,Nordeste,2021,"13,425"
CE,23,Ceará,Nordeste,2022,"9,45"
DF,53,Distrito Federal,Centro Oeste,2012,"8,625"
DF,53,Distrito Federal,Centro Oeste,2013,"9,025"
DF,53,Distrito Federal,Centro Oeste,2014,"8,95"
DF,53,Distrito Federal,Centro Oeste,2015,"10,1"
DF,53,Distrito Federal,Centro Oeste,2016,12
DF,53,Distrito Federal,Centro Oeste,2017,"13,175"
DF,53,Distrito Federal,Centro Oeste,2018,"12,725"
DF,53,Distrito Federal,Centro Oeste,2019,"13,375"
DF,53,Distrito Federal,Centro Oeste,2020,"14,75"
DF,53,Distrito Federal,Centro Oeste,2021,"13,95"
DF,53,Distrito Federal,Centro Oeste,2022,"11,325"
ES,32,Espírito Santo,Sudeste,2012,"7,125"
ES,32,Espírito Santo,Sudeste,2013,"7,125"
ES,32,Espírito Santo,Sudeste,2014,"6,175"
ES,32,Espírito Santo,Sudeste,2015,"7,7"
ES,32,Espírito Santo,Sudeste,2016,"12,225"
ES,32,Espírito Santo,Sudeste,2017,"13,125"
ES,32,Espírito Santo,Sudeste,2018,"11,475"
ES,32,Espírito Santo,Sudeste,2019,"10,975"
ES,32,Espírito Santo,Sudeste,2020,"12,675"
ES,32,Espírito Santo,Sudeste,2021,"11,125"
ES,32,Espírito Santo,Sudeste,2022,"7,925"
GO,52,Goiás,Centro Oeste,2012,"5,375"
GO,52,Goiás,Centro Oeste,2013,"5,425"
GO,52,Goiás,Centro Oeste,2014,"5,3"
GO,52,Goiás,Centro Oeste,2015,"7,3"
GO,52,Goiás,Centro Oeste,2016,"10,475"
GO,52,Goiás,Centro Oeste,2017,"10,575"
GO,52,Goiás,Centro Oeste,2018,"9,225"
GO,52,Goiás,Centro Oeste,2019,"10,6"
GO,52,Goiás,Centro Oeste,2020,"12,425"
GO,52,Goiás,Centro Oeste,2021,"11,25"
GO,52,Goiás,Centro Oeste,2022,"7,1"
MA,21,Maranhão,Nordeste,2012,"8,05"
MA,21,Maranhão,Nordeste,2013,"7,85"
MA,21,Maranhão,Nordeste,2014,"6,825"
MA,21,Maranhão,Nordeste,2015,"8,575"
MA,21,Maranhão,Nordeste,2016,"11,85"
MA,21,Maranhão,Nordeste,2017,"14,325"
MA,21,Maranhão,Nordeste,2018,"14,4"
MA,21,Maranhão,Nordeste,2019,"14,275"
MA,21,Maranhão,Nordeste,2020,"15,85"
MA,21,Maranhão,Nordeste,2021,"15,825"
MA,21,Maranhão,Nordeste,2022,"10,425"
MG,31,Minas Gerais,Sudeste,2012,"6,875"
MG,31,Minas Gerais,Sudeste,2013,"6,6"
MG,31,Minas Gerais,Sudeste,2014,"6,725"
MG,31,Minas Gerais,Sudeste,2015,"8,475"
MG,31,Minas Gerais,Sudeste,2016,"11,075"
MG,31,Minas Gerais,Sudeste,2017,"12,2"
MG,31,Minas Gerais,Sudeste,2018,"10,7"
MG,31,Minas Gerais,Sudeste,2019,"10,05"
MG,31,Minas Gerais,Sudeste,2020,"12,475"
MG,31,Minas Gerais,Sudeste,2021,"11,65"
MG,31,Minas Gerais,Sudeste,2022,"7,15"
MS,50,Mato Grosso do Sul,Centro Oeste,2012,"6,1"
MS,50,Mato Grosso do Sul,Centro Oeste,2013,"4,675"
MS,50,Mato Grosso do Sul,Centro Oeste,2014,"4,1"
MS,50,Mato Grosso do Sul,Centro Oeste,2015,"6,125"
MS,50,Mato Grosso do Sul,Centro Oeste,2016,"7,675"
MS,50,Mato Grosso do Sul,Centro Oeste,2017,"8,475"
MS,50,Mato Grosso do Sul,Centro Oeste,2018,"7,55"
MS,50,Mato Grosso do Sul,Centro Oeste,2019,"7,95"
MS,50,Mato Grosso do Sul,Centro Oeste,2020,"9,95"
MS,50,Mato Grosso do Sul,Centro Oeste,2021,"8,6"
MS,50,Mato Grosso do Sul,Centro Oeste,2022,"5,025"
MT,51,Mato Grosso,Centro Oeste,2012,"5,5"
MT,51,Mato Grosso,Centro Oeste,2013,"4,425"
MT,51,Mato Grosso,Centro Oeste,2014,4
MT,51,Mato Grosso,Centro Oeste,2015,"6,05"
MT,51,Mato Grosso,Centro Oeste,2016,"9,35"
MT,51,Mato Grosso,Centro Oeste,2017,"8,95"
MT,51,Mato Grosso,Centro Oeste,2018,"7,85"
MT,51,Mato Grosso,Centro Oeste,2019,"7,95"
MT,51,Mato Grosso,Centro Oeste,2020,"9,725"
MT,51,Mato Grosso,Centro Oeste,2021,"7,95"
MT,51,Mato Grosso,Centro Oeste,2022,"4,25"
PA,15,Pará,Norte,2012,"7,375"
PA,15,Pará,Norte,2013,"7,25"
PA,15,Pará,Norte,2014,"7,2"
PA,15,Pará,Norte,2015,"8,8"
PA,15,Pará,Norte,2016,"11,15"
PA,15,Pará,Norte,2017,"11,75"
PA,15,Pará,Norte,2018,"11,125"
PA,15,Pará,Norte,2019,"10,775"
PA,15,Pará,Norte,2020,"10,35"
PA,15,Pará,Norte,2021,"12,575"
PA,15,Pará,Norte,2022,"9,575"
PB,25,Paraíba,Nordeste,2012,"9,175"
PB,25,Paraíba,Nordeste,2013,"8,8"
PB,25,Paraíba,Nordeste,2014,"8,85"
PB,25,Paraíba,Nordeste,2015,"9,5"
PB,25,Paraíba,Nordeste,2016,"11,35"
PB,25,Paraíba,Nordeste,2017,"11,375"
PB,25,Paraíba,Nordeste,2018,"11,075"
PB,25,Paraíba,Nordeste,2019,"11,575"
PB,25,Paraíba,Nordeste,2020,"14,625"
PB,25,Paraíba,Nordeste,2021,"14,775"
PB,25,Paraíba,Nordeste,2022,"11,925"
PE,26,Pernambuco,Nordeste,2012,"9,075"
PE,26,Pernambuco,Nordeste,2013,"8,975"
PE,26,Pernambuco,Nordeste,2014,"8,15"
PE,26,Pernambuco,Nordeste,2015,"9,875"
PE,26,Pernambuco,Nordeste,2016,"14,55"
PE,26,Pernambuco,Nordeste,2017,"17,65"
PE,26,Pernambuco,Nordeste,2018,"16,7"
PE,26,Pernambuco,Nordeste,2019,"15,475"
PE,26,Pernambuco,Nordeste,2020,"16,825"
PE,26,Pernambuco,Nordeste,2021,"19,9"
PE,26,Pernambuco,Nordeste,2022,"14,2"
PI,22,Piauí,Nordeste,2012,"6,9"
PI,22,Piauí,Nordeste,2013,"7,525"
PI,22,Piauí,Nordeste,2014,"6,525"
PI,22,Piauí,Nordeste,2015,"7,55"
PI,22,Piauí,Nordeste,2016,"9,425"
PI,22,Piauí,Nordeste,2017,"12,85"
PI,22,Piauí,Nordeste,2018,"12,775"
PI,22,Piauí,Nordeste,2019,"12,8"
PI,22,Piauí,Nordeste,2020,"12,8"
PI,22,Piauí,Nordeste,2021,"13,55"
PI,22,Piauí,Nordeste,2022,"10,1"
PR,41,Paraná,Sul,2012,"4,95"
PR,41,Paraná,Sul,2013,"4,325"
PR,41,Paraná,Sul,2014,4
PR,41,Paraná,Sul,2015,"5,85"
PR,41,Paraná,Sul,2016,"8,225"
PR,41,Paraná,Sul,2017,9
PR,41,Paraná,Sul,2018,"8,775"
PR,41,Paraná,Sul,2019,"8,525"
PR,41,Paraná,Sul,2020,"9,375"
PR,41,Paraná,Sul,2021,"8,35"
PR,41,Paraná,Sul,2022,"5,825"
RJ,33,Rio de Janeiro,Sudeste,2012,"7,525"
RJ,33,Rio de Janeiro,Sudeste,2013,"6,775"
RJ,33,Rio de Janeiro,Sudeste,2014,"6,25"
RJ,33,Rio de Janeiro,Sudeste,2015,"7,6"
RJ,33,Rio de Janeiro,Sudeste,2016,"11,725"
RJ,33,Rio de Janeiro,Sudeste,2017,"14,925"
RJ,33,Rio de Janeiro,Sudeste,2018,"14,95"
RJ,33,Rio de Janeiro,Sudeste,2019,"14,65"
RJ,33,Rio de Janeiro,Sudeste,2020,"17,35"
RJ,33,Rio de Janeiro,Sudeste,2021,"16,9"
RJ,33,Rio de Janeiro,Sudeste,2022,"12,8"
RN,24,Rio Grande do Norte,Nordeste,2012,"11,4"
RN,24,Rio Grande do Norte,Nordeste,2013,"10,675"
RN,24,Rio Grande do Norte,Nordeste,2014,"11,025"
RN,24,Rio Grande do Norte,Nordeste,2015,"11,975"
RN,24,Rio Grande do Norte,Nordeste,2016,"14,15"
RN,24,Rio Grande do Norte,Nordeste,2017,"14,475"
RN,24,Rio Grande do Norte,Nordeste,2018,"13,55"
RN,24,Rio Grande do Norte,Nordeste,2019,"13,075"
RN,24,Rio Grande do Norte,Nordeste,2020,"15,8"
RN,24,Rio Grande do Norte,Nordeste,2021,"14,8"
RN,24,Rio Grande do Norte,Nordeste,2022,"11,625"
RO,11,Rondônia,Norte,2012,"6,35"
RO,11,Rondônia,Norte,2013,"5,075"
RO,11,Rondônia,Norte,2014,"4,175"
RO,11,Rondônia,Norte,2015,"5,575"
RO,11,Rondônia,Norte,2016,"7,925"
RO,11,Rondônia,Norte,2017,"8,225"
RO,11,Rondônia,Norte,2018,"9,05"
RO,11,Rondônia,Norte,2019,"7,95"
RO,11,Rondônia,Norte,2020,"10,425"
RO,11,Rondônia,Norte,2021,"8,95"
RO,11,Rondônia,Norte,2022,"4,925"
RR,14,Roraima,Norte,2012,"7,55"
RR,14,Roraima,Norte,2013,8
RR,14,Roraima,Norte,2014,"6,325"
RR,14,Roraima,Norte,2015,"8,525"
RR,14,Roraima,Norte,2016,"8,8"
RR,14,Roraima,Norte,2017,"9,85"
RR,14,Roraima,Norte,2018,"12,25"
RR,14,Roraima,Norte,2019,"14,925"
RR,14,Roraima,Norte,2020,"16,4"
RR,14,Roraima,Norte,2021,"12,05"
RR,14,Roraima,Norte,2022,"6,125"
RS,43,Rio Grande do Sul,Sul,2012,"4,8"
RS,43,Rio Grande do Sul,Sul,2013,"4,8"
RS,43,Rio Grande do Sul,Sul,2014,5
RS,43,Rio Grande do Sul,Sul,2015,"6,2"
RS,43,Rio Grande do Sul,Sul,2016,"8,175"
RS,43,Rio Grande do Sul,Sul,2017,"8,4"
RS,43,Rio Grande do Sul,Sul,2018,"8,1"
RS,43,Rio Grande do Sul,Sul,2019,"8,025"
RS,43,Rio Grande do Sul,Sul,2020,"9,1"
RS,43,Rio Grande do Sul,Sul,2021,"8,725"
RS,43,Rio Grande do Sul,Sul,2022,"6,1"
SC,42,Santa Catarina,Sul,2012,"3,425"
SC,42,Santa Catarina,Sul,2013,"3,075"
SC,42,Santa Catarina,Sul,2014,"2,875"
SC,42,Santa Catarina,Sul,2015,"4,1"
SC,42,Santa Catarina,Sul,2016,"6,325"
SC,42,Santa Catarina,Sul,2017,"7,1"
SC,42,Santa Catarina,Sul,2018,"6,4"
SC,42,Santa Catarina,Sul,2019,"6,075"
SC,42,Santa Catarina,Sul,2020,"6,125"
SC,42,Santa Catarina,Sul,2021,"5,45"
SC,42,Santa Catarina,Sul,2022,"3,85"
SE,28,Sergipe,Nordeste,2012,"10,25"
SE,28,Sergipe,Nordeste,2013,"10,3"
SE,28,Sergipe,Nordeste,2014,"9,225"
SE,28,Sergipe,Nordeste,2015,"9,05"
SE,28,Sergipe,Nordeste,2016,"13,25"
SE,28,Sergipe,Nordeste,2017,"14,3"
SE,28,Sergipe,Nordeste,2018,"16,6"
SE,28,Sergipe,Nordeste,2019,"15,075"
SE,28,Sergipe,Nordeste,2020,"18,4"
SE,28,Sergipe,Nordeste,2021,"17,875"
SE,28,Sergipe,Nordeste,2022,"12,9"
SP,35,São Paulo,Sudeste,2012,"7,25"
SP,35,São Paulo,Sudeste,2013,"7,225"
SP,35,São Paulo,Sudeste,2014,"7,125"
SP,35,São Paulo,Sudeste,2015,"9,3"
SP,35,São Paulo,Sudeste,2016,"12,35"
SP,35,São Paulo,Sudeste,2017,"13,4"
SP,35,São Paulo,Sudeste,2018,"13,275"
SP,35,São Paulo,Sudeste,2019,"12,45"
SP,35,São Paulo,Sudeste,2020,"13,875"
SP,35,São Paulo,Sudeste,2021,"13,425"
SP,35,São Paulo,Sudeste,2022,"9,075"
TO,17,Tocantins,Norte,2012,"7,725"
TO,17,Tocantins,Norte,2013,"7,525"
TO,17,Tocantins,Norte,2014,"7,5"
TO,17,Tocantins,Norte,2015,"8,625"
TO,17,Tocantins,Norte,2016,"11,45"
TO,17,Tocantins,Norte,2017,"11,65"
TO,17,Tocantins,Norte,2018,"10,625"
TO,17,Tocantins,Norte,2019,"10,825"
TO,17,Tocantins,Norte,2020,"11,625"
TO,17,Tocantins,Norte,2021,"13,325"
TO,17,Tocantins,Norte,2022,"6,4"
